ABADAN ,عبادان,Şehir#Şehir#Basra#İran (1847) (Erzurum Antlaşmasıyla İran’a verildi.)#
TERCAN (Mamahatun) ,ترجان ,Kaza (1516)#Kaza (1534)#Kaza (1865)#Kaza (1924)#Kaza (1936)#BayburtRum eyâleti#ErzurumErzurum eyâleti#ErzurumErzurum vilâyeti#Erzurum#Erzincan,#,,
TERCAN-I SÜFLÂ ,ترجان سفلی ,Nahiye (1530) TercanBayburtRum eyâleti#
TERCAN-I ULYÂ ,ترجان عليا ,Nahiye (1530) TercanBayburtRum eyâleti#
Tercil (HAZRO) ,ترجيل ,Sancak (1520)#Kaza (1867)#Nahiye (1871)#Kaza (1954)#Diyarbakır eyâleti#DiyarbakırDiyarbakır eyâleti#SilvanDiyarbakırDiyarbakır vilâyeti#Diyarbakır#
TEREK (Kızlar) ,ترک ,Eyâlet KafkasyaRusya#
TERKOS ve KURÂ-YI SUYOLU ,ترقوس وَ قرای صو يولی ,Kaza (1852) Kaza-yı ErbaaEdirne vilâyeti#
TERKOS (Durusu) ,ترقوس ,Nahiye#Köy#ÇatalcaÇatalcaİstanbul#HadımköyÇatalcaİstanbul#
TERLİS (Trilis) ,ترليس ,Nahiye (1867)#Nahiye (1913)#NevrekopSirozSelânik vilâyeti#NevrekopSirozYunanistan#
TERMAL (Gökçedere) ,ترمال ,Kaza (1995) Yalova#
TERME ,ترمه ,Kaza (1520)#Kaza (1537)#Kaza (1846)#Kaza (1924)#CanikRum eyâleti#CanikSivas eyâleti#CanikTrabzon eyâleti#Samsun#
TERNİS ,ترنس ,Eyâlet Macaristan#
TESALYA (Thessalia) ,تساليا ,Bölge (1397-1881 Osmanlı#idaresinde. Fethi müteakip bu#bölgede “Tırhala” eyâlet ve#sancağı kuruldu.)#Yunanistan#
TEŞNE ,تشنه ,Kaza (1866) BanalukaBosna vilâyeti,#,,
TEŞTİK ,تشتيک ,Nahiye Mrk. (1924)#Kaza Mrk. (1990)#ÇamolukAlucraGiresun#ÇamolukGiresun#
TEVFİKİYE ,توفيقيه ,Müdiriyet Mrk. BahrulebyazMısır hıdiviyeti#
TEVZER ,توزر ,Kasaba Tunus#
TIMIŞ (Tımışvar) ,طمش ,Eyâlet (kontluk)#Eyâlet (1920)#Macaristan#Romanya#
"TIMIŞVAR (Timişoara, Temeşvar) ",طمشوار ,Eyâlet (1552)#Eyâlet (1716)#Eyâlet Mrk.#Tımışvar eyâleti#Macaristan#Tımış eyâletiRomanya#
TIRHALA (Trikkala) (Yenişehir) ,ترحاله ,Sancak (17.yy)#Sancak (1846)#Eyâlet (1854)#Sancak (1856)#Eyâlet (1863)#Sancak (1867)#Sancak (1881)#Rumeli eyâleti#Selânik eyâleti#Tırhala eyâleti#Selânik eyâleti#Tırhala eyâleti#Yanya vilâyeti#Yunanistan#
TIRNOVA (Tırnovacık) (Malko-Tırnovo) ,طرنوه ,Sancak (1846)#Sancak (1855)#Sancak (1864)#Kaza (1865)#Kaza (1913)#Silistre eyâleti#Vidin eyâleti#Tuna vilâyeti#KırkkiliseEdirne vilâyeti#BurgazBulgaristan#
TIRNOVİ (Tırnova) (Veliko-Tırnovo) ,طرنوی ,Sancak (1846)#Sancak (1878)#Vilâyet (1908)#Vidin eyâleti#Bulgaristan eyâleti#Bulgaristan#
TIRNOVİ ,,Nahiye (1856) YenişehirTırhala sancağı#
TİBNİN ,تبنين ,Nahiye (1517)#Sancak Mrk.#Kaza (1855)#Nahiye (1888)#SafedArap vilâyeti#Bilâd-ı BişaraSayda eyâleti#Bilâd-ı BişaraSayda eyâleti#SurBeyrutBeyrut,#,,
TİFLİS ,تفليس ,Eyâlet (1578)#Eyâlet (1603)#Eyâlet (1723-1735)#Eyâlet (1802)#Başşehir#Tiflis eyâleti#İran yönetimi#Osmanlı yönetimi#Rusya yönetimi#Gürcistan#
TİKRİT ,تکريت ,Sancak (16. yy.)#Sancak (17. yy.)#Nahiye (1830)#Kaza (1831)#Nahiye#Musul eyâleti#Bağdad eyâleti#MerkezMusulDiyarbakır eyâleti#SamarraBağdad eyâleti#BağdadIrak#
TİKVEŞ (Tikos) (Kavadar) ,تيکوش ,Kaza (1867)#Kaza (1917)#SelânikSelânik vilâyeti#SelânikYunanistan#
TİL ,تيل ,Nahiye Mrk.#Kaza Mrk. (1990)#KorkutMerkezMuş#KorkutMuş#
Tilbaşar (GÜNDOĞAN) ,تلبشار ,Nahiye (1517)#Kaza (1520)#Nahiye (1865)#Köy#AyntabArap vilâyeti#AyntabHalep eyâleti#AyntabHalepHalep vilâyeti#MerkezOğuzeliGaziantep#
TİLFETİŞ ,تلفتيش ,Nahiye Mrk. G.lcükHilvanŞanlıurfa#
Tilgoran (YOLLARBAŞI) ,تلکوران ,Nahiye (19.yy.)#Köy#MerkezMardinDiyarbakır eyâleti#MerkezViranşehirŞanlıurfa#
Tillo (AYDINLAR) ,تللو ,Nahiye MerkezSiirt#
TİLMENNES ,تل منس ,Kale MaarretünnumanŞamSuriye vilâyeti#
Tilmo (YALINCA) ,تلمو ,Nahiye (1875)#Köy#PütürgeMam.retülazizMam.retülaziz#DoğanyolPütürgeMalatya#
TİLÜSSEB‘ ,تل السبع ,Kasaba Mısır (Nil deltasında)#
TİMAR (Canik = Gedikbulak) ,تيمار ,Nahiye (1882)#Nahiye (1924)#MerkezVanVan vilâyeti#MerkezVan,#,,
TİMURİÇE ,تيموريچه ,Kaza (1867) BeratYanya vilâyeti#
TİMURLAR ,تيمورلر ,Nahiye (1865)#Nahiye (1913)#OrtaköyEdirneEdirne vilâyeti#OrtaköyBulgaristan#
TİRAN ,تيران ,Kaza (1881) Dıraçİşkodra vilâyeti#
TİRE ,تيره ,Kaza (1530)#Kaza (1867)#Kaza (1924)#AydınAnadolu eyâleti#İzmirAydın vilâyeti#İzmir#
TİREBOLU ,تيره بولی ,Kale (Diribolu kalesi.)#Kaza (1869)#Kaza (1924)#KürtünGümüşhaneRum eyâleti#TrabzonTrabzon vilâyeti#Giresun#
TİRGOVİŞTE ,ترغويشته ,Kaza BükreşRomanya#
TİRGOVİŞTE ,ترغويشته ,Kaza (1877)#Nahiye#PriştineKosova vilâyeti#PreşovaPriştineKosova vilâyeti#
Tirilye (ZEYTİNBAĞI) ,ترليا ,Kaza (1839)#Nahiye (1867)#Nahiye (1924)#BursaHudavendigâr eyâleti#MudanyaBursaHudavendigâr vilâyeti#MudanyaBursa#
TİYEK ,تکک ,Nahiye (1530)#Köy#GüvercinlikMaraşZülkadriye eyâleti#MerkezHassaHatay#
TİZBİYOZİ ,تيزبيوزی ,Şehir Cezayir#
TOBRUK ,طبرق ,Nahiye Derne→Bingazi→Libya#
TOĞRAD (Nevgrad) ,توغراد ,Eyâlet Macaristan#
Tokaris (AKINCILAR) ,توقارس ,Nahiye (1877)#Nahiye (1924)#Nahiye (1954)#KâhtaMalatyaM.m.retülaziz vilâyeti#KâhtaMalatya#KâhtaAdıyaman,#,,
TOKAT ,توقاد ,Kaza (1518)#Kaza (1530)#Sancak (1540)#Sancak (17.yy.)#Sancak (1865)#Vilâyet (1924)#Sivas-TokatRum eyâleti#Anadolu eyâleti#Sivas eyâleti#Sivas eyâleti#Sivas vilâyeti#Tokat#
TOKLAR ,طوقلر ,Nahiye (1865)#Nahiye (1953)#AziziyeSivasSivas vilâyeti#TomarzaKayseri#
TOLNA ,تولنا ,Eyâlet Macaristan#
TOMARİÇE ,طوماريچه ,Kaza (1846) BeratYanya eyâleti#
TOMARZA (Köstere) ,طومارزه ,Kaza (1483)#Kaza (1846)#Nahiye (1867)#Nahiye (1924)#Kaza (1953)#KayseriKaraman eyâleti#KayseriBozok eyâleti#DeveliKayseriAnkara vilâyeti#DeveliKayseri#Kayseri#
Tond (GÖKÇEYAZI) ,توند ,Nahiye (1525)#Köy#EreğliAksarayKaraman eyâleti#MerkezEreğliKonya#
Tonus (ALTINYAYLÂ) ,تنوس ,Kaza (17.yy.)#Kaza (1865)#Nahiye (1924)#SivasSivas eyâleti#SivasSivas vilâyeti#ŞarkışlaSivas#
TONYA (Ortamahalle) ,طونيه ,Nahiye (1868)#Kaza (1954)#VakfıkebirTrabzonTrabzon vilâyeti#Trabzon#
TOPAKLI ,طوپاقلی ,Köy#Nahiye#AvanosKırşehir#AvanosNevşehir#
TOPAKLI ,طوپاقلی ,Nahiye (1867)#Köy#HaymanaAnkaraAnkara vilâyeti#İkizceHaymanaAnkara#
TOPÇAM (Gebeme) ,طوپچام ,Nahiye (1867)#Nahiye (1924)#Nahiye (1933)#MesudiyeKarahisar-ı ŞarkîSivas vilâyeti#MesudiyeŞebinkarahisar#MesudiyeOrdu,#,,
TOPRAKKALE ,طوپراق قلعه ,Nahiye#Kaza ( 1996)#OsmaniyeAdana#Osmaniye#
TOPRAKKALE ,طوپراق قلعه ,Kaza Mrk. (1938) EleşkirtAğrı#
TORBALI (Kızılhisar) (Triyanda) ,طوربالی ,Nahiye (1530)#Kaza (1573)#Nahiye (1867)#Kaza (1926)#AyasluğAydınAnadolu eyâleti#SığlaKaptanpaşa eyâleti#İzmirİzmirAydın vilâyeti#İzmir#
Torbalı (GÖYNÜK) ,طوربالی ,Kaza (1530)#Kaza (1841)#Kaza (1865)#Kaza (1924)#HudavendigârAnadolu eyâleti#BoluKastamonu eyâleti#BoluKastamonu vilâyeti#Bolu#
TORGON ,طورغون ,Kaza (1878) BoğdanRomanya#
TORNA ,تورنه ,Sancak (kontluk) Macaristan#
TOROGOY ,طوروغوی ,Kaza (1878) BoğdanRomanya#
TORONTAL ,تورونتال ,Eyâlet Macaristan#
TORTUM (Nihah) ,تورتوم ,Kaza (1514)#Sancak (1534)#Kaza (1865)#Nahiye#Kaza#Kaza (1924)#KemahRum eyâleti#Erzurum eyâleti#ErzurumErzurum vilâyeti#MerkezErzurumErzurum vilâyeti#ErzurumErzurum#Erzurum#
TORUL (Ardasa) ,طورول ,Kaza (1530)#Kaza (1851)#Kaza (1865)#Kaza (1924)#TrabzonRum eyaleti#GümüşhaneTrabzon eyâleti#GümüşhaneTrabzon vilâyeti#Gümüşhane#
Tosköy (BOĞAZKAYA) ,طوسکوی ,Nahiye BafraSamsun,#,,
"TOSYA (Mermerdirek, Hirsend.nü, Kuzyaka, Akçakavak köylerinin “Dilgüşâ” k.yüne nakil ve ilâvesiyle oluşmuştur. Tosya’nın halen Dilgüşâ (Dilküşah) mahallesi vardır. ",طوسيه ,Kaza (1530)#Kaza (1846)#Kaza (1865)#Kaza (1924)#KengırıAnadolu eyâleti#KengırıBozok eyâleti#KastamonuKastamonu vilâyeti#Kastamonu#
TOTOVA maa KALAS ,طوتوه مع قلاص ,Kaza (1845)#Kaza (1878)#BoğdanBoğdan eyâleti#BoğdanRomanya#
Tozanlı (DOĞANŞAR) (İpsile) ,توزانلی ,Nahiye (1530)#Kaza (1540)#Nahiye (1924)#TokatSivas-TokatRum eyâleti#SivasSivas eyâleti#HafikSivas#
TÖMÜK ,توموک ,Nahiye Mrk. ElvanlıErdemliİçel#
TRABLUS (Trablusşam) ,طرابلس ,Sancak (1517)#Sancak (1520)#Eyâlet (1570)#Sancak (1571)#Sancak (1573)#Sancak (1832-1840)#Sancak (1847)#Sancak (1865)#Sancak (1888)#Arap vilâyeti#Şam eyâleti#Trablus eyâleti#Kıbrıs eyâleti#Şam eyâleti#Mısır yönetimi#Sayda eyâleti#Suriye vilâyeti#Beyrut vilâyeti#
TRABLUS (Trablusgarp) (Tripoli de Barbarie) ,طرابلس ,Eyâlet (1553)#Vilâyet (1866)#Vilâyet (1912)#Vilâyet (1951)#Trablusgarp eyâleti#Trablusgarp vilâyeti#İtalya yönetimi#Libya#
TRABZON ,طرابزون ,Sancak (1461)#Sancak (1514)#Sancak (1520)#Sancak (1530)#Eyâlet (1585)#Vilâyet (1868)#Anadolu eyâleti#Erzincan eyâleti#Anadolu eyâleti#Rum eyâleti#Trabzon eyâleti#Trabzon vilâyeti#
TRAHYA ,طراحيه ,Kaza (1811) MenteşeAydın eyâleti,#,,
TRAVNA ,طراونه ,Kaza (1846) TırnoviVidin eyâleti#
TRAVNİK ,تراونيک ,Sancak (1580)#Eyâlet Mrk. (1722-1851)#Bosna eyâleti#Bosna eyâleti#
TRAVNİK maa KİLİS ,تراونيک مع کليس ,Sancak (1855) Bosna eyâleti#
TRAVNİK ,تراونيک ,Sancak (1866)#Sancak (1878)#Sancak (1920)#Sancak#Bosna vilâyeti#Avusturya-Macaristan#Yugoslavya#Bosna-Hersek#
TREBİN (Trebinje) ,تره بين ,Sancak (1580)#Kaza#Bosna eyâleti#HersekBosna-Hersek#
TREN (Tern) ,ترن ,Sancak Mrk. (1878) İznipolBulgaristan eyâleti#
TREVİZE (Treviso) ,تر ويزه ,Şehir Venedikİtalya#
TRİESTE ,تريسته ,Şehir (Adriyatik denizinin en#kuzeyinde.)#Avusturya-Macaristan#İtalya#
TRİGRAD ,تريغراد ,Nahiye (1867)#Nahiye (1913)#RopcuzDramaSelânik#RopcuzBulgaristan#
TRİPOLİÇE (Tripolitza) ,تريپوليچه ,Eyâlet Mrk. ArkadyaYunanistan#
TRİYANDA maa TORBALI ,تريانده مع توربالی ,Nahiye (1928’de Torbalı’da#“Triyanda Üçpınarlar” adlı#bir köy var.)#İzmirİzmirAydın vilâyeti#
TRİZYANOPOL (Theresianopol) ,ترزيانوپول ,Şehir BakısMacaristan#
TRUVA ,تروا ,Antik Şehir PınarbaşıGeyikliEzineÇanakkale#
TUD ,طود ,Kasaba Mısır,#,,
TUFANBEYLİ (Mağara) (Höketçe) ,طوفان بکلی ,Nahiye (1924)#Kaza (1958)#SaimbeyliAdana#Adana#
TUĞ ,توغ ,Köy#Kaza Mrk. (1946)#TatvanMerkezBitlis#TatvanBitlis#
Tuht (YAPRAKLI) ,توخت ,Kaza (1846)#Nahiye (1865)#Nahiye (1924)#Kaza (1958)#KengırıBozok eyâleti#MerkezKengırıKastamonu vilâyeti#MerkezÇankırı#Çankırı#
TULCA maa KARAYOVA ,طولجی مع قرايوه ,Kaza (1562) Kü.ük EflâkEflâk eyâleti#
TULCA (Tulcea) ,طولجی ,Sancak (1851)#Sancak (1864)#Sancak (1878)#Silistre eyâleti#Tuna vilâyeti#Romanya#
TULKEREM ,طول کرم ,Kaza Mrk. (1888) Beni Sa‘bBelkaBeyrut vilâyeti#
"TUNA (Ruscuk, Şumnu) (Osmanlı döneminde batı Bulgaristan’ı içine alan vilâyet) ",طونه ,Vilâyet (1864)#Vilâyet (1885)#Vilâyet (1908)#Tuna vilâyeti#Bulgar prensliği#Bulgaristan krallığı#
"TUNABURGAZ (Sünne, Sulina) ",طونه بورغاز ,Sancak (1857)#Sancak (1913)#Silistre eyâleti#Romanya#
TUNCELİ (Kalan) ,تونج ايلی ,Vilâyet (1936) Tunceli (1936’da Dersim bölgesinde kuruldu. 1947’ye#kadar Elâzığ’dan yönetildi.)#
TUNUS (Tûnis) ,تونس ,Eyâlet (1574)#Eyâlet (1869)#Eyâlet (1881)#Eyâlet (1956)#Eyâlet (1957)#Tunus eyâleti (emâreti)#Fransa-İngiltere-İtalya işgali#Fransız s.mürgesi#Bağımsız Tunus#Tunus Cumhuriyeti#
TUR (Midyat bölgesinin kuzey yarısında idi.) ,طور ,Nahiye (1530) Hısn-ıkeyf-SiirtDiyarbakır eyâleti#
TURÂBÎ (Beni Turâbî) ,ترابی ,Sancak (1660) Sayda eyâleti,#,,
TURANLI (Dereköy) ,تورانلی ,Nahiye (1948) Bergamaİzmir#
TURGUT ,طورغود ,Kaza (1530)#Köy#Nahiye#KonyaKaraman eyâleti#MerkezAkşehirKonyaKonya#YunakKonya#
TURGUT (Leyne) ,طورغود ,Nahiye (1924)#Nahiye (1944)#MerkezMuğla#YatağanMuğla#
TURGUTLU (Kasaba-i Turgutlu) (Kasaba) ,طورغودلی ,Kaza (1865)#Kaza (1924)#SaruhanAydın vilâyeti#Manisa#
TURGUTREİS (Karatoprak) ,طورغود رئيس ,Nahiye BodrumMuğla#
TURHAL (Keşan) ,تورخال ,Kaza (1530)#Kaza (17.yy.)#Nahiye (1865)#Nahiye (1924)#Kaza (1944)#Sivas-TokatRum eyâleti#SivasSivas eyâleti#MerkezTokatSivas eyâleti#MerkezTokat#Tokat#
TURNU maa DELİORMAN ,طورنو مع دلی اورمان ,Kaza (1562)#Kaza (1878)#Büyük EflâkEflâk eyâleti#Romanya#
TUROKS (Thurocs) ,توروقس ,Eyâlet Macaristan#
Turuş (KUYULU) ,تورش ,Nahiye (1530)#Köy#KâhtaGerger-KâhtaRum eyâleti#AkpınarMerkezAdıyaman#
TUT ,طوت ,Nahiye (1884)#Nahiye (1926)#Nahiye (1933)#Nahiye (1954)#Kaza ( 1990)#BesniMalatyaM.m.retülaziz vilâyeti#BesniGaziantep#BesniMalatya#BesniAdıyaman#Adıyaman#
TUTAK (Antab) ,طوتاق ,Kaza (1865)#Kaza (1924)#Kaza (1938)#BayazıtErzurum vilâyeti#Bayazıt#Ağrı,#,,
TUTRAKAN ,طوتراقان ,Kaza (1864)#Kaza (1878)#Kaza (1908)#RuscukTuna vilâyeti#SilistreBulgaristan eyâleti#SilistreBulgaristan#
TUZ ,طوز ,Kaza (1881) İşkodraİşkodra vilâyeti#
TUZBURUN ,طوز برون ,Nahiye (1865)#Nahiye (1919)#AhiçelebiGümülcineEdirne vilâyeti#AhiçelebiGümülcineYunanistan#
TUZHİSAR (Büyük Tuzhisar) ,طوز حصار ,Nahiye (1865)#Kasaba#AziziyeSivasSivas vilâyeti#MerkezBünyanKayseri#
TUZHİSAR ,طوز حصار ,Nahiye (1865) HafikSivasSivas vilâyeti#
TUZHORMATU ,طوز خورماتو ,Kaza (1855) KifriBağdad maa Şehrizor eyâleti#
TUZLA ,طوزله ,Köy#Kaza ( 1990)#KartalŞehremâneti#İstanbul#
TUZLA (Hakkıbey) ,طوزله ,Nahiye#Nahiye (1957)#MerkezAdana#KarataşAdana#
TUZLA ,طوزله ,Kaza (1841)#Köy#HudavendigârAnadolu eyâleti#GülpınarAyvacıkÇanakkale#
Tuzla (LARNAKA) ,طوزله ,Kasaba Kıbrıs#
TUZLA-İ BÂLÂ ,طوزلهء بالا ,Kasaba Bosna#
TUZLAGÖZÜ (Melefan) ,طوزله کوزی ,Nahiye (1880)#Nahiye (1949)#Nahiye (1990)#GarzanSiirtBitlis vilâyeti#KozlukSiirt#KozlukBatman#
TUZLAGÖZÜ ,طوزله کوزی ,Nahiye (1865)#Köy#KoçkiriSivasSivas vilâyeti#MerkezZaraSivas#
TUZLA-İ ZÎR (Donj-Tuzla) ,طوزلهء زير ,Sancak Mrk. (1866) İzvornikBosna vilâyeti#
TUZLUCA ,طوزليجه ,Kaza (1934)#Kaza (1995)#Kars#Iğdır,#,,
TUZLUKÇU ,طوزلوقجی ,Nahiye#Kaza ( 1990)#AkşehirKonya#Konya#
TÜRBEDERE ,تربه دره ,Nahiye (1865) ÇorluTekirdağEdirne vilâyeti#
TÜRBETÜLFAHM (Şer‘ab) ,تربة الفحم ,Nahiye (1873) MerkezTaizzYemen#
Türk.n (GÜLEÇOBA) ,ترکان ,Nahiye (1865)#Köy#MerkezDiyarbakırDiyarbakır vilâyeti#PirinçlikMerkezDiyarbakır#
TÜRKELİ (Ayandon) (Gemiyanı) ,ترک ايلی ,Kaza (1846)#Nahiye (1865)#Nahiye (1924)#Kaza (1957)#SinopKastamonu eyâleti#AyancıkSinopKastamonu vilâyeti#AyancıkSinop#Sinop#
TÜRKMEN ,ترکمان ,Sancak (17. yy.)#Nahiye (1865)#Halep vilâyeti#KilisHalepHalep vilâyeti#
TÜRKMEN (Türkmen Hacı) ,ترکمان ,Nahiye#Köy#MerkezDiyarbakır#MerkezBismilDiyarbakır#
TÜRKMENÇELEBİ ,ترکمان چلبی ,Nahiye (1865) HarranUrfaHalep vilâyeti#
TÜRKMENLÜ ,ترکمانلو ,Kaza (1849) AnkaraBozok eyâleti#
TÜRKOĞLU (Eloğlu) ,ترک اوغلی ,Köy#Nahiye (1944)#Kaza (1960)#MerkezMerkezMaraşHalep vilâyeti#MerkezMaraş#Kahramanmaraş#
Türnük (SARIBUĞDAY) ,تورنيک ,Nahiye MerzifonAmasya#
Türüşmek (ÇİÇEKLİ) (Çihik) ,ترشمک ,Nahiye (1926)#Nahiye (1935)#MazgirtElâzığ#MerkezTunceli#
TÜTÜNCÜ (Ayvacık) ,توتونجی ,Nahiye GönenBalıkesir#
Tütünlü (AŞAGIIRMAKLAR) ,توتونلی ,Nahiye ArdanuçArtvin,#,,
UBEYD ,عبيد ,Müdiriyet Mrk. KordofanSudan-ı MısrîMısır#
UCLE maa CALU ,اوجله مع جالو ,Kaza Bingazi sancağıLibya#
"Uçum (SÜRÜCÜLER) (Bazı kaynaklar ve 1328, 1928 salnameleri bu yerin “İspayrit” sancağı olduğunu yazmıştır.) ",اوچوم ,Nahiye (1878)#Nahiye (1924)#Köy#HizanBitlisBitlis vilâyeti#HizanBitlis#SağınlıHizanBitlis#
UDE ,اوده ,Sancak (1578)#Kasaba#Çıldır eyâleti#Gürcistan#
UFACIKLI ,اوفه جقلی ,Nahiye (1866)#Köy#PazarcıkMaraşHalep vilâyeti#MerkezPazarcıkKahramanmaraş#
UĞURCA ,اوغورجه ,Nahiye Mrk.#Kaza Mrk. (1945)#KeşapMerkezGiresun#KeşapGiresun#
UĞURLUDAĞ (Kızılveran) ,اوغورلی طاغ ,Nahiye#Kaza ( 1990)#İskilipÇorum#Çorum#
UKBERA ,عکبرا ,Kasaba BağdadBağdad vilâyeti#
UKSUR ,اقصر ,Kasaba Mısır eyâleti#
ULA (Gökâbâd) ,اوله ,Nahiye (1867)#Kaza (1954)#MerkezMenteşeAydın vilâyeti#Muğla#
ULAŞ ,اولاش ,Nahiye (1865)#Nahiye (1924)#Kaza ( 1990)#MerkezSivasSivas vilâyeti#MerkezSivas vilâyeti#Sivas#
ULAŞ ,اولاش ,Kaza (1517) TarsusArap vilâyeti#
ULAŞ maa NAMRUN ,اولاش مع نمرون ,Nahiye (1928’de Namrun’a#bağlı “Kocaulaş” k.yü var.)#MerkezTarsusAdana vilâyeti#
ULEYKA ,عليقه ,Nahiye (1517) TrablusArap vilâyeti,#,,
ULUÂBÂD ,اولو آباد ,Nahiye (1834) MerkezHarputHarput eyâleti#
ULUBAT (Uluâbâd) ,اولو باد ,Köy ve göl MerkezKaracabeyBursa#
ULUBEY (Gündüzlü) ,اولو بک ,Nahiye (1530)#Nahiye (1871)#Kaza (1958)#BayramlıCanikRum eyâleti#OrduTrabzonTrabzon vilâyeti#Ordu#
ULUBEY ,اولو بک ,Nahiye#Kaza (1953)#UşakKütahya#Kütahya#
ULUBORLU ,اولو بورلی ,Kaza (1485)#Kaza (1846)#Kaza (1865)#Kaza (1924)#HamidAnadolu eyâleti#HamidKaraman eyâleti#HamidKonya vilâyeti#Isparta#
ULUCAMİ ,اولو جامع ,Nahiye Mrk. GüneysuMerkezRize#
ULUÇINAR (Arsuz) (Kabevli) ,اولو چنار ,Nahiye (1517)#Kaza (1608)#Nahiye (1865)#Nahiye (1939)#HalepArap vilâyeti#BelenAdana vilâyeti#İskenderunHalepHalep vilâyeti#İskenderunHatay#
ULUDERE (Kılaban) (Eski “Güyan” nahiyesi bölgesinde kuruldu.) ,اولو دره ,Nahiye#Kaza (1957)#Kaza (1990)#BeytüşşebapHakkâri#Hakkâri#Şırnak#
ULUKALE ,اولو قلعه ,Nahiye (1530)#Köy#MerkezÇemişgezekDiyarbakır eyâleti#AkçapınarÇemişgezekTunceli#
ULUKIŞLA (Şucaaddin) ,اولو قشله ,Kaza (18.yy.)#Nahiye (1864)#Kaza (1924)#NiğdeKaraman eyâleti#MerkezNiğdeKonya#Niğde,#,,
ULUKÖY ,اولو کوی ,Kasaba#Kaza Mrk. (1990)#(Kürtün’ün eski merkezi#Cayra’nın büyük bir kısmı#baraj suları altında#kaldığından kaza “Uluköy”e#nakledildi. Eski merkez#Cayra da “.zkürtün” adıyla#ayrı bir kasaba durumunda#kaldı.)#KürtünTorulGümüşhane#KürtünGümüşhane#
ULUKÖY ,اولو کوی ,Nahiye Mrk. DombayovaDinarAfyon#
ULUS (Kaldırım) ,اولوس ,Kaza (1530)#Kaza (1865)#Nahiye (1924)#Kaza (1944)#Kaza (1991)#BoluAnadolu eyâleti#BoluKastamonu vilâyeti#SafranboluZonguldak#Zonguldak#Bartın#
Ulusincanlu (SİNCANLI) (Sinanpaşa) ,اولو سنجانلو ,Nahiye (1530)#Nahiye (1924)#Kaza (1953)#Karahisar-ı SahibAnadolu eyâleti#MerkezAfyon#Afyon#
ULYABÂD (Aliâbâd) ,علياباد ,Kaza (19.yy.) HanikinBağdad maa Şehrizor eyâleti#
ULYÂ-YI NİL (İbrahimiye) ,عليای نيل ,Müdiriyet Sudan-ı Mısrî-Mısır#
UMRANİYE (Misyaf) ,عمرانيه ,Nahiye#Kaza (1902)#MerkezHamaSuriye vilâyeti#HamaSuriye vilâyeti#
UMRANİYE ,عمرانيه ,Kaza (1852) HorasanBağdad maa Şehrizor eyâleti#
UMRANİYE ,عمرانيه ,Nahiye EmirdağAfyon,#,,
Umraniye (İMRANLI) ,عمرانيه ,Nahiye (1865)#Nahiye (1924)#Kaza (1948)#ZaraSivasSivas vilâyeti#ZaraSivas vilâyeti#Sivas#
UMRANLI ,عمرانلی ,Nahiye (1865) SaideliKonyaKonya vilâyeti#
UMURBEY ,اوموربک ,Kasaba GemlikBursa#
UMURBEY (Bergos) ,اوموربک ,Kaza (1530)#Nahiye (1924)#BigaAnadolu eyâleti#LapsekiÇanakkale#
UMURBEY ,اوموربک ,Nahiye (1865)#Köy#HayraboluTekfurdağıEdirne vilayeti#SusuzmüsellimHayraboluTekirdağ#
UMURFAKİH (Jeglartsi) ,اومور فقيه ,Kaza (1812)#Kaza (1878)#Köy#RuscukSilistre eyâleti#BergosRumeli-i Şarkî vilâyeti#MerkezMerkezHacıoğlupazarcığıBulgaristan#
UMURLU ,اومورلی ,Nahiye (1942) MerkezAydın#
URAĞZI ,اور آغزی ,Sancak (1435) Kırım eyâleti#
URCU ,عورجی ,Kaza (1878) EflâkRomanya#
URFA (Ruha) (ŞANLIURFA) ,اورفه ,Sancak ( 1516)#Eyâlet Mrk. (1520)#Sancak Mrk. (1846)#Sancak (1867)#Vilâyet (1924)#Vilâyet#Diyarbakır eyâleti#Rakka eyâleti#RakkaHalep eyâleti#Halep vilâyeti#Urfa#Şanlıurfa#
URFA (Buranın şimdi Olur’un Ori=Atlı k.yü arazisinde olduğu bazı kaynaklarda belirtilmiş.) ,اورفه ,Sancak (17.yy.) Çıldır eyâleti#
URFİLE (Adana’nın Ceyhan ilçesine de “Urfile” denmişse de pek kullanılmamış ve yerleşmemiştir.) ,اورفله ,Sancak (19.yy.)#Kaza (1866)#Kaza#SancakTrablusgarb eyâleti#TrablusgarbTrablusgarb vilâyeti#Libya,#,,
URGANLI (Eski Ilıca kazası bölgesinde şimdi “Ahmetli” bucağı var. Urganlı ise halen Turgutlu merkez bucağına bağlı bir kasabadır.) ,اورغانلی ,Kaza Mrk. (1826) Ilıca-i SaruhanSaruhanAydın eyâleti#
URLA ,اورله ,Nahiye (1530)#Kaza (1573)#Kaza (1867)#Kaza (1924)#İzmirAydınAnadolu eyâleti#SığlaKaptanpaşa eyâleti#İzmirAydın vilâyeti#İzmir#
URMİYE (Urumî) ,ارميه ,Şehir İran#
URUŞ ,اوروش ,Nahiye BeypazarıAnkara#
URUŞ ,اوروش ,Kaza Mrk. (1875) Merdinaİşkodraİşkodra vilâyeti#
USTURUMCA (Stroumnitza) (Strumica) ,استرومجه ,Kaza (1867) SelânikSelânik vilâyeti#
