İdârî Birimin Yeni Harflerle Adı 1	İdârî Birimin Yeni Harflerle Adı 2	İdârî Birimin Yeni Harflerle Adı 3	İdârî Birimin Yeni Harflerle Adı 4	İdârî Birimin Yeni Harflerle Adı 5	İdârî Birimin Yeni Harflerle Adı note	Eski Harflerle Adı	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli 1 4	Bagli 1 3	Bagli 1 2	Bagli 1 1	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 4	Bagli 2 3	Bagli 2 2	Bagli 2 1	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 4	Bagli 3 3	Bagli 3 2	Bagli 3 1	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 3	Bagli 4 2	Bagli 4 1	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 3	Bagli 5 2	Bagli 5 1	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 2	Bagli 6 1	Unvan 7	Unvan 7 year	Unvan 7 note	Bagli 7 2	Bagli 7 1	Unvan 8	Unvan 8 year	Unvan 8 note	Bagli 8 2	Bagli 8 1	Unvan 9	Unvan 9 year	Bagli 9 3	Bagli 9 2	Bagli 9 1	Unvan 10	Unvani 10 year	Bagli 10 2	Bagli 10 1	Unvan 11	Unvani 11 year	Bagli 11 2	Bagli 11 1	Unvan 12	Bagli 12	Unvan 13	Bagli 13	Unvan 14	Unvan 14 year	Bagli 14
ORHANLAR						اورخانلر	Nahiye					Balya	Balıkesir	Köy				Danişment	Balya	Balıkesir																																																						
ORLİYANVİL						اورليانويل	Kaza	16. yy.				Cezayir	Cezayir eyâleti																																																													
ORMANLI	Başveren					اورمانلی	Nahiye					Ereğli	Zonguldak																																																													
ORTA	Karıpazarı					اورته	Kaza	~1530				Kengırı	Anadolu eyâleti	Kaza	1849				Kengırı	Bozok eyâleti	Nahiye	1867			Merkez	Kengırı	Kastamonu vilâyeti	Nahiye	1944			Şabanözü	Çankırı	Kaza	1959				Çankırı																																			
ORTABAĞ	Gerur					اورته باغ	Nahiye	1957				Uludere	Hakkâri	Nahiye	1990				Uludere	Şırnak																																																						
ORTACA						اورته جه	Nahiye					Köyceğiz	Muğla	Kaza	~1990					Muğla																																																						
ORTACA						اورته جه	Nahiye	1865			Merkez	Tekfurdağı	Edirne vilâyeti	Köy				Banarlı	Merkez	Tekirdağ																																																						
ORTACALAR	Ortaköy					اورته جه لر	Nahiye					Hopa	Rize	Nahiye	1936				Arhavi	Artvin																																																						
ORTAİL						اورته ايل	Nahiye		Kemah’ın batısında idi.		Merkez	Kemah	Rum eyâleti																																																													
ORTAKENT	Sisorta	Ortaköy				اورته کند	Nahiye	1865			Koyulhisar	Karahisar-ı Şarkî	Sivas vilâyeti	Nahiye	1924				Koyulhisar	Şebinkarahisar	Nahiye	1933				Koyulhisar	Sivas																																															
ORTAKENT	Müsgebi	Yalıkavak				اورته کند	Nahiye					Bodrum	Muğla																																																													
ORTAKLAR						اورتاقلر	Nahiye	1865			Vezirköprü	Amasya	Sivas vilâyeti	Köy				Merkez	Havza	Samsun																																																						
ORTAKLAR						اورتاقلر	Nahiye	1948				Germencik	Aydın																																																													
ORTAKOL						اورته قول	Nahiye	1865			Nevrekop	Siroz	Selânik																																																													
ORTAKÖY						اورته کوی	Köy					Bekiştaş	İstanbul	Semt					Bekiştaş	İstanbul																																																						
Ortaköy	Anduğu	ALTINHİSAR				اورته کوی	Kaza	1473				Niğde	Karaman eyâleti	Nahiye	1924				Bor	Niğde	Kaza	~1990					Niğde																																															
ORTAKÖY						اورته کوی	Nahiye	1908			Mecitözü	Yozgat	Ankara	Nahiye	1926				Mecitözü	Çorum	Kaza	1959					Çorum																																															
ORTAKÖY	Hemşin	Zugaortaköy				اورته کوی	Nahiye	1868			Atina	Lazistan	Trabzon vilâyeti	Nahiye	1924				Pazar	Rize																																																						
ORTAKÖY	Berta					اورته کوی	Nahiye					Merkez	Artvin																																																													
ORTAKÖY						اورته کوی	Nahiye	1865			Tonus	Sivas	Sivas vilâyeti	Nahiye	1924				Şarkışla	Sivas																																																						
ORTAKÖY						اورته کوی	Nahiye merkezi				Ortacalar	Arhavi	Artvin																																																													
ORTAKÖY						اورته کوی	Nahiye					Aksaray	Niğde	Kaza	1957					Niğde	Kaza	1989					Aksaray																																															
ORTAKÖY						اورته کوی	Köy				Karasu	Adapazarı	Kocaeli	Nahiye					Karasu	Sakarya	Nahiye	~1990				Kocaeli	Sakarya																																															
ORTAKÖY	İvaylov-grad					اورته کوی	Kaza	1865				Edirne	Edirne vilâyeti	Kaza	1913					Bulgaristan																																																						
ORTANİYABET						اورته نيابت	Nahiye		Efsus = Afşin dahil olmak üzere köylerinin hemen hepsi şimdi Afşin’e bağlı.			Elbistan	Zülkadriye eyâleti																																																													
ORTASİYE						اورتاسيه	Nahiye	~1530			Bozdoğan	Aydın	Anadolu eyâleti																																																													
ORUL	Sekili					اورول	Nahiye	1866			Ayıntab	Halep	Halep vilâyeti	Kasaba				Merkez	Nizip	Gaziantep																																																						
ORUMAN	Abruman, Hauraman	Şehr-i Oruman			Gülanber’in doğusunda. Şimdi İran hudutları içinde.	اورومان	Sancak	17. yy. – 1830					Şehrizor eyâleti																																																													
ORYA	Oria					اوريا	Kaza					Otranto	İtalya																																																													
OSÇA						اوسچه	Sancak	17. yy.					Çıldır eyâleti																																																													
OSMANCALI						عثمانجه لی	Nahiye					Merkez	Manisa																																																													
OSMANCIK						عثمانجق	Sancak	1475					Anadolu eyâleti	Kaza	~1520				Çorum	Rum eyâleti	Kaza	1847				Amasya-Çorum	Sivas eyâleti	Kaza	1864			Amasya	Sivas vilâyeti	Kaza	1894			Çorum	Ankara vilâyeti	Kaza	1924			Çorum																														
OSMANELİ	Lefke					عثمان ايلی	Nahiye	1801			Merkez	Ertuğrul	Hudavendigâr Anadolu eyâleti	Nahiye	1924				Merkez	Bilecik	Kaza	1926					Bilecik																																															
OSMANGAZİ						عثمان غازی	Kaza	~1990					Bursa																																																													
OSMANİYE					Fırka-i İslâhiye tarafından Hacıosmanlı k.yünün “Haraz” mevkiinde kuruldu. Hacıosmanlı ve Haraz halen Osmaniye’nin birer mahallesidir.	عثمانيه	Köy	1865				Üzeyir	Adana eyâleti	Kaza	1881				Üzeyir	Halep vilâyeti	Kaza	1890				Cebelibereket	Adana vilâyeti	Sancak merkezi	1908			Cebelibereket	Adana vilâyeti	Vilâyet merkezi	1924				Cebelibereket	Kaza	1933			Adana	Vilâyet	1996			Osmaniye																									
OSMANİYE	Ergani Osmaniye					عثمانيه	Nahiye merkezi				Merkez	Erganimadeni	Diyarbakır	Kaza merkezi	1926				Ergani	Diyarbakır																																																						
Osmaniye	AYRANCI					عثمانيه	Nahiye					Ereğli	Konya vilâyeti																																																													
OSMANİYE	Maliş	Bihcova				عثمانيه	Kaza	1877				Üsküb	Kosova vilâyeti																																																													
OSMANLI						عثمانلی	Nahiye					Saray	Tekirdağ	Köy				Beyazköy	Saray	Tekirdağ																																																						
Osmanlı	Çanlı	YENİKONAK				عثمانلی	Kaza	1841				Sinop	Kastamonu eyâleti	Nahiye	1865			İstefan	Sinop	Kastamonu vilâyeti	Nahiye	1924				Ayancık	Sinop																																															
OSMANPAŞA						عثمان پاشا	Nahiye					Merkez	Yozgat																																																													
OSMANPAŞALAR						عثمان پاشالر	Nahiye	1846				Kırcaali	Edirne eyâleti	Nahiye	1913				Kırcaali	Bulgaristan																																																						
OSMANPAZARI	Omurtag					عثمان بازاری	Kaza	1812				Tırnovi	Silistre eyâleti	Kaza	1851				Şumnu	Silistre eyâleti	Kaza	1864				Tırnovi	Tuna vilâyeti	Kaza	~1870			Ruscuk	Tuna vilâyeti	Sancak	1877				Bulgaristan eyâleti	Kaza	1885		Eskicuma	Bulgaristan																														
OSTROPALYA						اوستروپاليا	Nahiye (ada)	1867			Kalimnoz	Sakız	Cezayir-i Bahr-i Sefid vilâyeti	Nahiye	1912					İtalyan yönetimi	Nahiye	1948				Kalimnoz	Yunanistan																																															
OSTROVA	Arnissa					اوسترووه	Nahiye	1867			Vodine	Selânik	Selânik vilâyeti	Nahiye	1913				Vodine	Yunanistan																																																						
OSTROVİÇ	Vakıf					اوستروويچ	Kaza					Bosna	Bosna-Hersek																																																													
Oşun	Hoşin	ULUYAZI				اوشون	Nahiye	17. yy.			Merkez	Siverek	Diyarbakır eyâleti	Nahiye	19. yy.			Siverek	Diyarbakır	Diyarbakır eyâleti	Köy				Merkez	Siverek	Şanlıurfa																																															
OTLUKBELİ	Karakulak					اوتلق بلی	Nahiye	1865			Tercan	Erzurum	Erzurum vilâyeti	Nahiye	1936				Tercan	Erzincan	Nahiye	1954				Çayırlı	Erzincan	Kaza	~1990				Erzincan																																									
OTLUKKÖY	Panagyurişte					اوتلق کوی	Kaza	1878				Tatarpazarcığı	Rumeli-i Şarkî vilâyeti	Kaza	1908				Filibe	Bulgaristan																																																						
OTRANTA	Otranto					اوترانته	Kasaba						İtalya																																																													
OVAÂBÂD						اووه آباد	Nahiye		Köylerinin çoğu halen Ağın kazasına bağlı.		Merkez	Arapkir	Diyarbakır eyâleti																																																													
OVABAĞ	Aşağıhanik	Kilvan				اووه باغ	Nahiye					Çınar	Diyarbakır																																																													
OVACIK	Pulur					اووه جق	Nahiye	1520			Merkez	Çemişgezek	Diyarbakır eyâleti	Kaza	1836				Erzincan	Erzurum eyâleti	Sancak merkezi	1857				Dersim	Harput eyâleti	Kaza	1936				Tunceli																																									
OVACIK						اووه جق	Nahiye					Merkez	Çankırı	Kaza	1959					Çankırı	Kaza	1995					Karabük																																															
OVACIK	Üçköşe				1928 salnâmesinde ve köyler kitabında merkezi “Üçkilise”dir.	اووه جق	Nahiye	1520			Soğik	Bayburt	Rum eyâleti	Nahiye	1924				Merkez	Erzurum	Nahiye	~1990				Ilıca	Erzurum																																															
OVACIK	Hasanik					اووه جق	Nahiye					Hilvan	Şanlıurfa																																																													
OVACIK						اووه جق	Nahiye		Balaban bucağı bölgesinde idi.		Darende	Divriği-Darende	Rum eyâleti																																																													
OVACIK	Öçek				Çaldıran ovasına komşu olan yer, halen İran sınırları içindedir.	اووه جق	Sancak	17. yy.					Van eyâleti	Nahiye	1852					İran																																																						
OVACIK	Büyük Eceli					اووه جق	Nahiye					Gülnar	İçel																																																													
OVACIK-I İSPİR						اووه جق اسپير	Nahiye	1516			İspir	Bayburt	Rum eyâleti																																																													
OVACUMA						اووه جمعه	Nahiye	1924				Safranbolu	Zonguldak	Nahiye	1995				Safranbolu	Karabük																																																						
OVAKENT	Adagide					اووه کند	Nahiye					Ödemiş	İzmir																																																													
OVAKIŞLA	Purhus					اووه قشله	Nahiye merkezi	1878		Misk	Ahlat	Bitlis	Bitlis vilâyeti	Nahiye	1935				Ahlat	Bitlis																																																						
OVAYÜZÜ						اووه يوزی	Kaza	~1841				Viranşehir	Kastamonu eyâleti	Nahiye		Lağvedilmiş. Yeri belirlenemedi.		Bartın	Bolu	Kastamonu vilâyeti																																																						
OYALI	Alyan	Dalakavasır				اويالو	Nahiye	1924				Nusaybin	Mardin	Nahiye	1937				İdil	Mardin	Nahiye	1990				İdil	Şırnak																																															
OYMAAĞAÇ						اويم آغاچ	Nahiye	~1516			Merkez	Ruha	Diyarbakır eyâleti	Nahiye		Bozova’nın Taşan k.yünü içine alan bölge. Lağvedilmiş.		Merkez	Urfa	Halep vilâyeti																																																						
OYMAAĞAÇ						اويمه آغاچ	Nahiye	1865			Vezirköprü	Amasya	Sivas vilâyeti	Nahiye	1924			Merkez	Vezirköprü	Samsun																																																						
OYNAŞ						اويناش	Kaza	~1530				Karahisar-ı Sahib	Anadolu eyâleti	Köy				Kırka	Seyitgazi	Eskişehir																																																						
OYUKLU						اويوقلی	Köy				Yavi	Tercan	Erzurum vilâyeti	Kaza merkezi		Halen Çat’ın bir mahallesidir.			Çat	Erzurum																																																						
OZAN	Ozanköy					اوزان	Nahiye	1867			Alucra	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Çamoluk	Alucra	Giresun																																																						
ÖDEMİŞ						اوده مش	Kaza	1866				İzmir	Aydın vilâyeti	Kaza	1924					İzmir																																																						
ÖĞDEM						اوکدم	Kaza merkezi	1879-1894			Kiskim	Çıldır	Erzurum eyâleti	Kaza merkezi	1926-1950				Yusufeli	Artvin	Nahiye	1956				Yusufeli	Artvin																																															
ÖĞEZ						اوگز	Kaza	1849				Kengırı	Bozok eyâleti																																																													
Öğnevid	ÇINARLI					اوغنويد	Nahiye	1873			Hafik	Sivas	Sivas vilâyeti	Köy				Merkez	Hafik	Sivas																																																						
ÖKSE						اوکسه	Kaza	1846				Canik	Trabzon eyâleti	Köy		1928’de dört köy vardı. Halen Öksekaracalı ve Ökseköseli köyleri var.		Merkez	Çarşamba	Samsun																																																						
ÖMERBEY	Çöpköy					عمر بک	Nahiye	1865			Cisr-i Ergene	Edirne	Edirne vilâyeti	Köy				Çöpköy	Uzunköprü	Edirne																																																						
Ömerin	KOCAPINAR					عمرين	Nahiye merkezi				Dicle	Cizre	Mardin																																																													
Ömerkân	ÖMERLİ	Masarti				عمر کان	Kaza	19. yy.				Mardin	Diyarbakır eyâleti	Nahiye	1925			Avniye	Mardin	Diyarbakır vilâyeti	Kaza	1953					Mardin																																															
ÖMERKÖY						عمر کوی	Nahiye					Susurluk	Balıkesir																																																													
ÖMERLİ	Ömerkân	Masarti				عمرلی	Kaza	19. yy.				Mardin	Diyarbakır eyâleti	Nahiye	1925			Avniye	Mardin	Diyarbakır vilâyeti	Kaza	1953					Mardin																																															
ÖMERLİ					Son düzenlemede Ömerli kazası ilgâ olunup köyleri Mahmut Şevket Paşa nahiyesine bağlanmış, Ömerli k.yü de bu nahiyenin merkezi olmuştur.	عمرلی	Nahiye					Şile	İstanbul	Nahiye merkezi	1924			Mahmut Şevketpaşa	Üsküdar	İstanbul	Nahiye merkezi	1926			Mahmut Şevketpaşa	Beykoz	İstanbul																																															
ÖREN	Kemerdere					اورن	Nahiye					Milâs	Muğla																																																													
ÖRENCİK	Virancık					اورنجک	Nahiye	1867			Merkez	Kütahya	Hudavendigâr vilâyeti	Nahiye	1924				Emet	Kütahya																																																						
Örenik	AYDOĞAN					اوره نيک	Nahiye	1865			Divriği	Sivas	Sivas vilâyeti	Köy				Gedikbaşı	Divriği	Sivas																																																						
ÖRENŞEHİR	Viranşehir					اورنشهر	Nahiye					Pınarbaşı	Kayseri																																																													
